id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating
279,POINTE COUPEE GENERAL HOSPITAL,2202 FALSE RIVER DRIVE,NEW ROADS,LA,70760,POINTE COUPEE,2253686386,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
280,METHODIST HOSPITAL OF SACRAMENTO,7500 HOSPITAL DRIVE,SACRAMENTO,CA,95823,SACRAMENTO,9164236010,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2
281,BLACK RIVER MEMORIAL HOSPITAL,711 W ADAMS ST,BLACK RIVER FALLS,WI,54615,JACKSON,7152845361,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
282,ST JUDE MEDICAL CENTER,101 E VALENCIA MESA DRIVE,FULLERTON,CA,92835,ORANGE,7149923000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
283,KNOXVILLE HOSPITAL & CLINICS,1002 SOUTH LINCOLN STREET,KNOXVILLE,IA,50138,MARION,6418422151,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
284,MCKEE MEDICAL CENTER,2000 BOISE AVE,LOVELAND,CO,80538,LARIMER,9706694640,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
285,BLUE MOUNTAIN HOSPITAL,802 SOUTH 200 WEST,BLANDING,UT,84511,SAN JUAN,4356783993,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
286,SILOAM SPRINGS REGIONAL HOSPITAL,603 NORTH PROGRESS AVENUE,SILOAM SPRINGS,AR,72761,BENTON,4795244141,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
287,SMYTH COUNTY COMMUNITY HOSPITAL,245 MEDICAL PARK DRIVE,MARION,VA,24354,SMYTH,2763781000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
288,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
289,PERRY COUNTY GENERAL HOSP,206 BAY ST,RICHTON,MS,39476,PERRY,6017886316,Critical Access Hospitals,Proprietary,TRUE,TRUE,Not Available
290,RIVERWOOD HEALTHCARE CENTER,200 BUNKER HILL DRIVE,AITKIN,MN,56431,AITKIN,2189275501,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
291,CAPE CORAL HOSPITAL,636 DEL PRADO BLVD,CAPE CORAL,FL,33990,LEE,2395742323,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
292,"MEMORIAL HOSPITAL, THE",750 HOSPITAL LOOP,CRAIG,CO,81625,MOFFAT,9708249411,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
293,FAYETTE COUNTY MEMORIAL HOSPITAL,1430 COLUMBUS AVENUE,WASHINGTON CH,OH,43160,FAYETTE,7403331210,Critical Access Hospitals,Government - Local,TRUE,TRUE,3
294,ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,11130 PARKVIEW CIRCLE DR,FORT WAYNE,IN,46845,ALLEN,2606724050,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
295,LAKEWOOD HEALTH SYSTEM,49725 COUNTY ROAD 83,STAPLES,MN,56479,TODD,2188941515,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
296,"OKLAHOMA SURGICAL HOSPITAL, LLC","2408 EAST 81ST STREET, SUITE 300",TULSA,OK,74137,TULSA,9184775095,Acute Care Hospitals,Physician,TRUE,TRUE,5
297,FAIRFIELD MEMORIAL HOSPITAL 1,303 N W 11TH STREET,FAIRFIELD,IL,62837,WAYNE,6188422611,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
298,NORTH VALLEY HEALTH CENTER,300 WEST GOOD SAMARITAN DRIVE,WARREN,MN,56762,MARSHALL,2187454211,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
299,NEWARK-WAYNE COMMUNITY HOSPITAL,111 DRIVING PARK AVENUE,NEWARK,NY,14513,WAYNE,3153322022,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
300,BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,DE,19958,SUSSEX,3026453300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
301,SETON HIGHLAND LAKES,HIGHWAY 281 SOUTH,BURNET,TX,78611,BURNET,5127153000,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
302,NOCONA GENERAL HOSPITAL,100 PARK ROAD,NOCONA,TX,76255,MONTAGUE,9408253235,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
303,HARRISON MEMORIAL HOSPITAL,1210 KY HWY 36 E,CYNTHIANA,KY,41031,HARRISON,8592342300,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
304,CAROLINAS HEALTHCARE SYSTEM KINGS MOUNTAIN,706 W KING ST,KINGS MOUNTAIN,NC,28086,CLEVELAND,7047393601,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
305,PURCELL MUNICIPAL HOSPITAL,1500 NORTH GREEN AVENUE,PURCELL,OK,73080,MCCLAIN,4055276524,Acute Care Hospitals,Government - Local,TRUE,TRUE,4
306,ST CLARES HOSPITAL OF WESTON,3400 MINISTRY PARKWAY,WESTON,WI,54476,MARATHON,7153933000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
307,TRISTAR STONECREST MEDICAL CENTER,200 STONECREST BOULEVARD,SMYRNA,TN,37167,RUTHERFORD,6157682000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
308,LYNN COUNTY HOSPITAL DISTRICT,2600 LOCKWOOD STREET,TAHOKA,TX,79373,LYNN,8069984533,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
309,TAWAS ST JOSEPH HOSPITAL,200 HEMLOCK,TAWAS CITY,MI,48764,IOSCO,9893629301,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4
310,MAPLE GROVE HOSPITAL,9875 HOSPITAL DRIVE,MAPLE GROVE,MN,55369,HENNEPIN,7635811000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
311,COMMUNITY HOSPITAL ASSOCIATION,"26136 US HIGHWAY 59, PO BOX 107",FAIRFAX,MO,64446,ATCHISON,6606862111,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
312,WHEELING HOSPITAL,1 MEDICAL PARK,WHEELING,WV,26003,OHIO,3042433000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2
313,SAINT THOMAS HIGHLANDS HOSPITAL,401 SEWELL DR,SPARTA,TN,38583,WHITE,9317389211,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
314,CRISP REGIONAL HOSPITAL,902 7TH STREET NORTH,CORDELE,GA,31015,CRISP,2292763100,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
315,FRANCISCAN HEALTH DYER,24 JOLIET ST,DYER,IN,46311,LAKE,2198652141,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2
316,STILLWATER BILLINGS CLINIC,710 N 11TH ST,COLUMBUS,MT,59019,STILLWATER,4063225316,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
317,TEXAS GENERAL HOSPITAL,2709 HOSPITAL BLVD,GRAND PRAIRIE,TX,75051,DALLAS,4696352073,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available
318,LOWELL GENERAL HOSPITAL,295 VARNUM AVENUE,LOWELL,MA,1854,MIDDLESEX,9789376000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
319,TEXAS CHILDRENS HOSP,6621 FANNIN STREET,HOUSTON,TX,77030,HARRIS,8328241000,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available
320,HENRICO DOCTORS' HOSPITAL,1602 SKIPWITH ROAD,RICHMOND,VA,23229,HENRICO,8042894500,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
321,PERRY COMMUNITY HOSPITAL,2718 SQUIRREL HOLLOW DRIVE,LINDEN,TN,37096,PERRY,9315892121,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
322,FAIRVIEW DEVELOPMENTAL CENTER,2501 HARBOR BOULEVARD,COSTA MESA,CA,92626,ORANGE,7149575000,Acute Care Hospitals,Government - Local,FALSE,,Not Available
323,TERREBONNE GENERAL MEDICAL CENTER,8166 MAIN STREET,HOUMA,LA,70360,TERREBONNE,9858734141,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
324,GARFIELD MEMORIAL HOSPITAL,200 NORTH 400 EAST,PANGUITCH,UT,84759,GARFIELD,4356768811,Acute Care Hospitals,Government - Local,TRUE,TRUE,Not Available
325,JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,3055851111,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,1
326,"MERCY HOSPITAL OKLAHOMA CITY, INC",4300 WEST MEMORIAL ROAD,OKLAHOMA CITY,OK,73120,OKLAHOMA,4057523754,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
327,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,WARWICK,RI,2886,KENT,4017377010,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
328,HOSP COMUNITARIO BUEN SAMARITANO,CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18,AGUADILLA,PR,603,AGUADILLA,7876580000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
329,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,COOK,7732576751,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
330,PLUMAS DISTRICT HOSPITAL,1065 BUCKS LAKE ROAD,QUINCY,CA,95971,PLUMAS,5302832121,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
331,STEWART MEMORIAL COMMUNITY HOSPITAL,1301 WEST MAIN STREET,LAKE CITY,IA,51449,CALHOUN,7124643171,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
332,CARROLL COUNTY MEMORIAL HOSPITAL,309 ELEVENTH STREET,CARROLLTON,KY,41008,CARROLL,5027324321,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
333,AURORA ST LUKES MEDICAL CENTER,2900 W OKLAHOMA AVE,MILWAUKEE,WI,53215,MILWAUKEE,4146496000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
334,BAPTIST MEMORIAL HOSPITAL TIPTON,1995 HIGHWAY 51 S,COVINGTON,TN,38019,TIPTON,9014762621,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
335,ASANTE THREE RIVERS MEDICAL CENTER,500 SW RAMSEY AVENUE,GRANTS PASS,OR,97527,JOSEPHINE,5414727000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
336,LECONTE MEDICAL CENTER,742 MIDDLECREEK ROAD,SEVIERVILLE,TN,37862,CUMBERLAND,8654467500,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
337,ST JOSEPH HOSPITAL,700 BROADWAY,FORT WAYNE,IN,46802,ALLEN,2604253000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
338,P H S INDIAN HOSPITAL-FT BELKNAP AT HARLEM - CAH,"456 GROS VENTRE AVE, RR 1",HARLEM,MT,59526,BLAINE,4063533100,Critical Access Hospitals,Government - Federal,TRUE,TRUE,Not Available
339,ST VINCENT MERCY HOSPITAL,1331 S A ST,ELWOOD,IN,46036,MADISON,7655524743,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available
340,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,SAN DIEGO,6195436222,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
341,VIDANT EDGECOMBE HOSPITAL,111 HOSPITAL DR,TARBORO,NC,27886,EDGECOMBE,2526417700,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
342,PLATEAU MEDICAL CENTER,"430 MAIN STREET, WEST",OAK HILL,WV,25901,FAYETTE,3044698600,Critical Access Hospitals,Proprietary,TRUE,TRUE,3
343,"ST JOHN SAPULPA, INC",1004 EAST BRYAN,SAPULPA,OK,74066,CREEK,9182278601,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
344,MOUNTAIN VIEW HOSPITAL,2325 CORONADO STREET,IDAHO FALLS,ID,83404,BONNEVILLE,2085572700,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available
345,"COMMUNITY MEMORIAL HEALTHCARE, INC",708 N 18TH STREET,MARYSVILLE,KS,66508,MARSHALL,7855622311,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
346,TIMPANOGOS REGIONAL HOSPITAL,750 WEST 800 NORTH,OREM,UT,84057,UTAH,8017146800,Acute Care Hospitals,Proprietary,TRUE,TRUE,4
347,CHRISTUS SPOHN HOSPITAL KLEBERG,1311 EAST GENERAL CAVAZOS BLVD,KINGSVILLE,TX,78363,KLEBERG,3615951661,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
348,MAYERS MEMORIAL HOSPITAL,43563 HWY 299 EAST,FALL RIVER MILLS,CA,96028,SHASTA,5303365511,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
349,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,19805,NEW CASTLE,3024214100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
350,MEDICAL ARTS HOSPITAL,2200 N BRYAN AVE,LAMESA,TX,79331,DAWSON,8068722183,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
351,THE MEDICAL CENTER AT CAVERNA,1501 SOUTH DIXIE STREET,HORSE CAVE,KY,42749,HART,2707862191,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
352,HAYS MEDICAL CENTER,2220 CANTERBURY DRIVE,HAYS,KS,67601,ELLIS,7856235000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
353,SOUTH POINTE HOSPITAL,20000 HARVARD ROAD,WARRENSVILLE HEIGHTS,OH,44122,CUYAHOGA,2164916000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
354,"HACIENDA CHILDREN'S HOSPITAL, INC.",610 WEST JEROME AVENUE,MESA,AZ,85210,MARICOPA,6022434231,Childrens,Proprietary,FALSE,TRUE,Not Available
355,MERCY WILLARD HOSPITAL,1100 NEAL ZICK ROAD,WILLARD,OH,44890,HURON,4199645000,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
356,HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,1397 WEIMER ROAD,TAOS,NM,87571,TAOS,5757588883,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
357,HORN MEMORIAL HOSPITAL,701 E 2ND ST,IDA GROVE,IA,51445,IDA,7123643311,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
358,CHESTATEE REGIONAL HOSPITAL,227 MOUNTAIN DRIVE,DAHLONEGA,GA,30533,LUMPKIN,7068646136,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
359,NORTHSIDE HOSPITAL FORSYTH,1200 NORTHSIDE FORSYTH DRIVE,CUMMING,GA,30041,FORSYTH,7708443200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
360,HARPER COUNTY COMMUNITY HOSPITAL,1003 US HIGHWAY 64 NORTH,BUFFALO,OK,73834,HARPER,5807352555,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
361,NORTHWEST SPECIALTY HOSPITAL,1593 EAST POLSTON AVENUE,POST FALLS,ID,83854,KOOTENAI,2082622300,Acute Care Hospitals,Proprietary,FALSE,TRUE,Not Available
362,PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,77 N AIRLITE STREET,ELGIN,IL,60123,KANE,8476953200,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
363,ORTHOINDY HOSPITAL,8400 NORTHWEST BLVD,INDIANAPOLIS,IN,46278,MARION,3179561000,Acute Care Hospitals,Physician,FALSE,,Not Available
364,MEMORIAL HOSPITAL OF TAMPA,2901 W SWANN AVE,TAMPA,FL,33609,HILLSBOROUGH,8138736400,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
365,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,865 STONE ST,RAHWAY,NJ,7065,UNION,7323814200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
366,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,MATANUSKA SUSITNA,9078616000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
367,"ST JOSEPH'S HOSPITAL, INC",555 ST JOSEPH'S BLVD,ELMIRA,NY,14902,CHEMUNG,6077336541,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
368,HABERSHAM COUNTY MEDICAL CTR,541 HISTORIC HIGHWAY 441-NORTH,DEMOREST,GA,30535,HABERSHAM,7067542161,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
369,MARTIN COUNTY HOSPITAL DISTRICT,600 E INTERSTATE 20     PO BOX 640,STANTON,TX,79782,MARTIN,4327563345,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
370,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,GENESEE,8106065000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2
371,WELLMONT HANCOCK COUNTY HOSPITAL,1519 MAIN STREET HWY 33,SNEEDVILLE,TN,37869,HANCOCK,4237335001,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
372,T J SAMSON COMMUNITY HOSPITAL,1301 NORTH RACE STREET,GLASGOW,KY,42141,BARREN,2706514159,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
373,DRISCOLL CHILDRENS HOSPITAL,3533 S ALAMEDA BOX 6530,CORPUS CHRISTI,TX,78411,NUECES,3617394846,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available
374,METHODIST HOSPITAL OF CHICAGO,5025 N PAULINA STREET,CHICAGO,IL,60640,COOK,7732719040,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
375,HAZARD ARH REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,HAZARD,KY,41701,PERRY,6064396600,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
376,PIONEER MEMORIAL HOSPITAL,564 E PIONEER DRIVE,HEPPNER,OR,97836,MORROW,5416769133,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available
377,ALLIANCEHEALTH MIDWEST,2825 PARKLAWN DRIVE,MIDWEST CITY,OK,73110,OKLAHOMA,4056108585,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
378,MURPHY MEDICAL CENTER INC,3990 EAST US HIGHWAY 64 ALT,MURPHY,NC,28906,CHEROKEE,8288378161,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
379,GUNDERSEN TRI-COUNTY HOSPITAL AND CLINICS,18601 LINCOLN ST,WHITEHALL,WI,54773,TREMPEALEAU,7155384361,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
380,MERCY HOSPITAL JEFFERSON,1400 HIGHWAY 61 SOUTH,CRYSTAL CITY,MO,63019,JEFFERSON,6369331000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
381,UNIVERSITY MEDICAL CENTER,1800 W CHARLESTON BLVD,LAS VEGAS,NV,89102,CLARK,7023832000,Acute Care Hospitals,Government - Local,TRUE,TRUE,1
382,LAKE HURON MEDICAL CENTER,2601 ELECTRIC AVENUE,PORT HURON,MI,48060,SAINT CLAIR,8109851500,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,TRUE,3
383,FAWCETT MEMORIAL HOSPITAL,21298 OLEAN BLVD,PORT CHARLOTTE,FL,33952,CHARLOTTE,9416291181,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
384,JACKSON COUNTY REGIONAL HEALTH CENTER,700 W GROVE ST,MAQUOKETA,IA,52060,JACKSON,5636522474,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
385,AVENTURA HOSPITAL AND MEDICAL CENTER,20900 BISCAYNE BLVD,AVENTURA,FL,33180,MIAMI-DADE,3056827000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
386,SCRIPPS MERCY HOSPITAL,4077 5TH AVE,SAN DIEGO,CA,92103,SAN DIEGO,6192948111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
387,CHI ST ALEXIUS HEALTH BISMARCK,900 E BROADWAY,BISMARCK,ND,58501,BURLEIGH,7015307000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
388,WAYNE MEMORIAL HOSPITAL,601 PARK STREET,HONESDALE,PA,18431,WAYNE,5702538100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
389,MONONGALIA COUNTY GENERAL HOSPITAL,1200 JD ANDERSON DR,MORGANTOWN,WV,26505,MONONGALIA,3045981200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
390,UNIVERSITY HOSPITALS PORTAGE MEDICAL CENTER,6847 N CHESTNUT,RAVENNA,OH,44266,PORTAGE,3302972300,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
391,TIMBERLANDS HOSPITAL,1100 E LOOP 304,CROCKETT,TX,75835,HOUSTON,9365463890,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
392,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,DETROIT,MI,48235,WAYNE,3139663300,Acute Care Hospitals,Proprietary,TRUE,TRUE,1
393,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,3050 TWIN RIVERS DRIVE,ARKADELPHIA,AR,71923,CLARK,8702452622,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
394,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,WOODLAND,CA,95695,YOLO,5306623961,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3
395,BELMONT COMMUNITY HOSPITAL,4697 HARRISON STREET,BELLAIRE,OH,43906,BELMONT,7406711200,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
396,MEDSTAR GOOD SAMARITAN HOSPITAL,5601 LOCH RAVEN BOULEVARD,BALTIMORE,MD,21239,BALTIMORE CITY,4434443902,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
397,SOUTHWEST HEALTH CENTER,1400 EAST SIDE RD,PLATTEVILLE,WI,53818,GRANT,6083482331,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
398,GATEWAY REGIONAL MEDICAL CENTER,2100 MADISON AVENUE,GRANITE CITY,IL,62040,MADISON,6187983175,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
399,SAN MIGUEL CORP D/B/A ALTA VISTA REGIONAL HOSPITAL,104 LEGION DRIVE,LAS VEGAS,NM,87701,SAN MIGUEL,5054263930,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
400,SHARP MEMORIAL HOSPITAL,7901 FROST ST,SAN DIEGO,CA,92123,SAN DIEGO,8589393400,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4
401,CITRUS MEMORIAL HOSPITAL,502 W HIGHLAND BLVD,INVERNESS,FL,34452,CITRUS,3527261551,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2
402,ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,AR,72450,GREENE,8702397000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
403,YALE-NEW HAVEN HOSPITAL,20 YORK ST,NEW HAVEN,CT,6504,NEW HAVEN,2036884242,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
404,SPRINGFIELD HOSPITAL,PO BOX 2003,SPRINGFIELD,VT,5156,WINDSOR,8028852151,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
405,TAKOMA REGIONAL HOSPITAL,401 TAKOMA AVE,GREENEVILLE,TN,37743,GREENE,4236393151,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
406,QUITMAN COUNTY HOSPITAL CAH,340 GETWELL DRIVE,MARKS,MS,38646,QUITMAN,6623268031,Critical Access Hospitals,Proprietary,TRUE,TRUE,Not Available
407,"VILLAGES REGIONAL HOSPITAL, THE",1451 EL CAMINO REAL,THE VILLAGES,FL,32159,SUMTER,3527518000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
408,MONROE COUNTY HOSPITAL,6580 165TH STREET,ALBIA,IA,52531,MONROE,6419322134,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
409,SAMARITAN PACIFIC COMMUNITY HOSPITAL,930 SW ABBEY STREET,NEWPORT,OR,97365,LINCOLN,5412652244,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
410,SUMMERSVILLE REGIONAL MEDICAL CENTER,400 FAIRVIEW HEIGHTS ROAD,SUMMERSVILLE,WV,26651,NICHOLAS,3048722891,Acute Care Hospitals,Government - Local,TRUE,TRUE,2
411,GOOD SAMARITAN MEDICAL CENTER,1309 N FLAGLER DR,WEST PALM BEACH,FL,33401,PALM BEACH,5616555511,Acute Care Hospitals,Proprietary,TRUE,TRUE,2
412,WILLS MEMORIAL HOSPITAL,120 GORDON STREET,WASHINGTON,GA,30673,WILKES,7066789212,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
413,HEART OF TEXAS MEMORIAL HOSPITAL,2008 NINE ROAD,BRADY,TX,76825,MCCULLOCH,3255972901,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
414,PHOENIXVILLE HOSPITAL,140 NUTT ROAD,PHOENIXVILLE,PA,19460,CHESTER,6109831000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
415,JEFFERSON HEALTHCARE,834 SHERIDAN STREET,PORT TOWNSEND,WA,98368,JEFFERSON,3603852200,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3
416,SANFORD TRACY MEDICAL CENTER,251 FIFTH STREET EAST,TRACY,MN,56175,LYON,5076298400,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
417,UNIVERSITY OF MARYLAND MEDICAL CENTER,22 SOUTH  GREENE STREET,BALTIMORE,MD,21201,BALTIMORE CITY,4103288667,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
418,BAPTIST HEALTH LOUISVILLE,4000 KRESGE WAY,LOUISVILLE,KY,40207,JEFFERSON,5028978100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
